NAMESPACE              NAME                                                      READY   STATUS    RESTARTS       AGE     IP               NODE                       NOMINATED NODE   READINESS GATES
observability          prometheus-server-6b69bd867c-2w7h2                        2/2     Running   0              41h     10.244.164.61    k1s0-local-worker          <none>           <none>
observability          tempo-0                                                   1/1     Running   0              41h     10.244.7.41      k1s0-local-worker3         <none>           <none>
openbao                openbao-0                                                 1/1     Running   0              41h     10.244.144.92    k1s0-local-worker2         <none>           <none>
registry               registry-66bc56cfb4-gh9kf                                 1/1     Running   0              41h     10.244.144.81    k1s0-local-worker2         <none>           <none>
spire-server           spire-server-0                                            2/2     Running   1 (8h ago)     41h     10.244.7.13      k1s0-local-worker3         <none>           <none>
spire-system           spire-agent-5m9nx                                         1/1     Running   0              41h     172.18.0.5       k1s0-local-worker2         <none>           <none>
spire-system           spire-agent-fchpx                                         1/1     Running   0              41h     172.18.0.2       k1s0-local-worker3         <none>           <none>
spire-system           spire-agent-fsqfd                                         1/1     Running   0              41h     172.18.0.3       k1s0-local-worker          <none>           <none>
spire-system           spire-spiffe-csi-driver-2j22q                             2/2     Running   0              41h     10.244.164.7     k1s0-local-worker          <none>           <none>
spire-system           spire-spiffe-csi-driver-9xqk6                             2/2     Running   0              41h     10.244.7.5       k1s0-local-worker3         <none>           <none>
spire-system           spire-spiffe-csi-driver-lqm9g                             2/2     Running   0              41h     10.244.144.71    k1s0-local-worker2         <none>           <none>
temporal               elasticsearch-master-0                                    1/1     Running   0              41h     10.244.7.21      k1s0-local-worker3         <none>           <none>
temporal               temporal-admintools-6b84c99564-ncs7f                      1/1     Running   0              41h     10.244.7.20      k1s0-local-worker3         <none>           <none>
temporal               temporal-cassandra-0                                      1/1     Running   0              41h     10.244.164.26    k1s0-local-worker          <none>           <none>
temporal               temporal-frontend-55d6cd9998-98k24                        1/1     Running   0              41h     10.244.164.27    k1s0-local-worker          <none>           <none>
temporal               temporal-history-6f8dff7d9b-fh8pv                         1/1     Running   0              41h     10.244.144.87    k1s0-local-worker2         <none>           <none>
temporal               temporal-matching-86c4576cb5-p785s                        1/1     Running   0              41h     10.244.7.22      k1s0-local-worker3         <none>           <none>
temporal               temporal-web-77ffcf578d-prt84                             1/1     Running   0              41h     10.244.164.25    k1s0-local-worker          <none>           <none>
temporal               temporal-worker-9f5fb9486-g7mlm                           1/1     Running   0              41h     10.244.164.28    k1s0-local-worker          <none>           <none>
tigera-operator        tigera-operator-76c4976dd7-7c98h                          1/1     Running   1 (8h ago)     41h     172.18.0.2       k1s0-local-worker3         <none>           <none>
valkey                 valkey-primary-0                                          1/1     Running   0              41h     10.244.144.91    k1s0-local-worker2         <none>           <none>
