# nfr trace 監査 (生成: 2026-05-02T18:33:14+09:00)
# ID 数: 155
# 動機: grep ベース coverage が「ID 直引用しない」性質で低スコアになる問題への補正
# 列定義:
#   direct        = src/infra/deploy/tools/examples で ID 直接 grep ヒット (coverage と重複)
#   verify        = infra/security/, infra/observability/, deploy/rollouts/, ops/, tests/{contract,e2e,fuzz} 内の ID 引用
#   cocited_fr    = ID 言及 docs に同居する FR-T1-* のうち、impl_refs>0 の件数
#   cocited_adr   = ID 言及 docs に同居する ADR-* のうち、impl_refs>0 の件数
#   trace_status  = どの経路で reach できるかの集約

id | direct | verify | cocited_fr | cocited_adr | trace_status
NFR-F-CHR-001 | 0 | 0 | 12 | 8 | reach(via-fr+via-adr)
NFR-F-CHR-002 | 0 | 0 | 15 | 35 | reach(via-fr+via-adr)
NFR-F-CHR-003 | 0 | 0 | 15 | 35 | reach(via-fr+via-adr)
NFR-F-ECO-001 | 0 | 0 | 12 | 8 | reach(via-fr+via-adr)
NFR-F-ECO-002 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-F-ECO-003 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-F-FAC-001 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-F-FAC-002 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-F-STD-001 | 0 | 0 | 15 | 35 | reach(via-fr+via-adr)
NFR-F-STD-002 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-F-SYS-001 | 0 | 0 | 12 | 37 | reach(via-fr+via-adr)
NFR-F-SYS-002 | 0 | 0 | 12 | 8 | reach(via-fr+via-adr)
NFR-F-SYS-003 | 0 | 0 | 12 | 8 | reach(via-fr+via-adr)
NFR-G-AC-001 | 0 | 1 | 30 | 18 | reach(verify+via-fr+via-adr)
NFR-G-AC-002 | 0 | 0 | 2 | 39 | reach(via-fr+via-adr)
NFR-G-CLS-001 | 0 | 2 | 14 | 19 | reach(verify+via-fr+via-adr)
NFR-G-CLS-002 | 0 | 2 | 1 | 3 | reach(verify+via-fr+via-adr)
NFR-G-DES-001 | 0 | 0 | 12 | 10 | reach(via-fr+via-adr)
NFR-G-DES-002 | 0 | 0 | 9 | 11 | reach(via-fr+via-adr)
NFR-G-ENC-001 | 0 | 0 | 27 | 39 | reach(via-fr+via-adr)
NFR-G-ENC-002 | 0 | 0 | 17 | 39 | reach(via-fr+via-adr)
NFR-G-ENC-003 | 0 | 0 | 17 | 11 | reach(via-fr+via-adr)
NFR-G-INT-001 | 0 | 0 | 12 | 7 | reach(via-fr+via-adr)
NFR-G-INT-002 | 0 | 0 | 1 | 0 | reach(via-fr)
NFR-G-INT-003 | 0 | 0 | 1 | 0 | reach(via-fr)
NFR-G-LIF-001 | 0 | 0 | 31 | 16 | reach(via-fr+via-adr)
NFR-G-LIF-002 | 0 | 0 | 1 | 0 | reach(via-fr)
NFR-G-PRV-001 | 0 | 0 | 33 | 18 | reach(via-fr+via-adr)
NFR-G-PRV-002 | 0 | 0 | 8 | 2 | reach(via-fr+via-adr)
NFR-G-PRV-003 | 0 | 0 | 24 | 14 | reach(via-fr+via-adr)
NFR-G-RES-001 | 0 | 0 | 12 | 16 | reach(via-fr+via-adr)
NFR-H-AUD-001 | 0 | 3 | 31 | 23 | reach(verify+via-fr+via-adr)
NFR-H-AUD-002 | 0 | 0 | 18 | 12 | reach(via-fr+via-adr)
NFR-H-COMP-001 | 0 | 0 | 25 | 18 | reach(via-fr+via-adr)
NFR-H-COMP-002 | 0 | 0 | 12 | 14 | reach(via-fr+via-adr)
NFR-H-COMP-003 | 0 | 0 | 13 | 12 | reach(via-fr+via-adr)
NFR-H-COMP-004 | 0 | 2 | 3 | 5 | reach(verify+via-fr+via-adr)
NFR-H-INT-001 | 7 | 3 | 27 | 39 | reach(direct+verify+via-fr+via-adr)
NFR-H-INT-002 | 1 | 0 | 0 | 15 | reach(direct+via-adr)
NFR-H-INT-003 | 0 | 0 | 17 | 13 | reach(via-fr+via-adr)
NFR-H-INT-004 | 0 | 0 | 12 | 17 | reach(via-fr+via-adr)
NFR-H-KEY-001 | 0 | 0 | 27 | 29 | reach(via-fr+via-adr)
NFR-H-TRN-001 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-I-EB-001 | 0 | 0 | 0 | 12 | reach(via-adr)
NFR-I-EB-002 | 0 | 0 | 0 | 0 | unreached
NFR-I-EB-003 | 0 | 0 | 0 | 0 | unreached
NFR-I-EB-004 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLA-001 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-I-SLI-001 | 0 | 0 | 32 | 17 | reach(via-fr+via-adr)
NFR-I-SLO-001 | 0 | 0 | 31 | 14 | reach(via-fr+via-adr)
NFR-I-SLO-002 | 0 | 0 | 1 | 7 | reach(via-fr+via-adr)
NFR-I-SLO-003 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-004 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-005 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-006 | 0 | 0 | 32 | 24 | reach(via-fr+via-adr)
NFR-I-SLO-007 | 0 | 0 | 1 | 6 | reach(via-fr+via-adr)
NFR-I-SLO-008 | 0 | 0 | 1 | 6 | reach(via-fr+via-adr)
NFR-I-SLO-009 | 0 | 0 | 2 | 6 | reach(via-fr+via-adr)
NFR-I-SLO-010 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-011 | 0 | 0 | 1 | 6 | reach(via-fr+via-adr)
NFR-I-SLO-101 | 0 | 0 | 0 | 1 | reach(via-adr)
NFR-I-SLO-102 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-103 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-104 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-105 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-106 | 0 | 0 | 0 | 0 | unreached
NFR-I-SLO-107 | 0 | 0 | 0 | 0 | unreached

## nfr trace_status 別集計
-       5 reach(direct+verify+via-fr+via-adr)
-       1 reach(direct+via-adr)
-       7 reach(direct+via-fr+via-adr)
-      20 reach(verify+via-fr+via-adr)
-      16 reach(via-adr)
-       6 reach(via-fr)
-      85 reach(via-fr+via-adr)
-      15 unreached

## 解釈ガイド
- direct>0: coverage.sh と同じ「ID 直引用」（NFR/DS/IMP では稀）
- verify>0: policy / SLO / rollout / contract test に ID 引用 (推奨される検証経路)
- via-fr / via-adr: ID 言及 docs と同じ docs に impl 済 FR/ADR が同居 (間接 reach)
- unreached: docs 上では起票されているが、上記 4 経路いずれにも reach できない (要 inspect)
